Yaş;İstenmeyen mesajlara maruz kalan kadınlar;Profili takip edilen kadınlar;Konum paylaşımından yola çıkılarak takip edilen kadınlar
;;;
18-30 Yaş Arasındaki Kadınlar;224;156;51
31-45 Yaş Arasındaki Kadınlar;191;115;42
46-60 Yaş Arasındaki Kadınlar;52;33;14
61-75 Yaş Arasındaki Kadınlar;11;5;1
