İlişki Durumu;Siber Şiddete Maruz Kalan;Siber Şiddete Maruz Kalmayan;Toplam
Evli;91;100;191
İlişkisı Var;36;8;44
Ayrı;56;26;82
İlişkisi Yok;114;75;189
Diğer;32;12;44
